AGB,# stems,B1,B2,B3,B4,B5,mean_intensity,std_intensity,mean_height (m),perc25_height,median_height,perc75_height,std_height,var_height,skew_height,kurto_height,dens_q100,dens_q75,dens_q50,dens_q25,mean_zdiff_q100,mean_zdiff_q75,mean_zdiff_q50,mean_zdiff_q25
1223.297524,44,1109.572581,3781.790323,2634.854839,8158.814516,15402.40323,30.54609929,2.115378266,0.424595745,0.496,0.463,0.521,0.112138654,0.012575078,-0.575748235,-0.709011766,0.234042553,0.262411348,0.24822695,0.255319149,0.00303125,0.001583333,0.003235294,0.005942857
1403.122394,80,1047.048,3307.792,2765.616,7857.464,14931.408,29.42473118,1.974904702,0.488666667,0.586,0.494,0.53525,0.072280641,0.005224491,-0.210958742,0.514485014,0.252688172,0.247311828,0.247311828,0.252688172,0.003782609,0.000822222,0.001044444,0.004413043
1205.113978,69,953.5403226,2942.266129,2430.104839,7095.540323,14292.14516,29.47029703,2.373869488,0.545910891,0.693,0.573,0.628,0.109366728,0.011961081,-0.569605116,-0.40531632,0.247524752,0.252475248,0.247524752,0.252475248,0.002469388,0.00108,0.002,0.00452
838.3138347,0,1257.396694,3776.190083,2916.570248,8672.438017,17365.13223,31.66086957,2.229786328,0.682434783,0.666,0.686,0.727,0.059492364,0.003539341,-0.270864059,-0.277238444,0.247826087,0.252173913,0.247826087,0.252173913,0.001821429,0.000701754,0.000732143,0.002526316
1564.025756,76,1003.5,2823.442623,2071.844262,6747.704918,14669.90164,32.3,2.751709425,0.452235714,0.6075,0.473,0.5675,0.144009636,0.020738775,-0.428781064,-0.550245945,0.25,0.25,0.25,0.25,0.002028846,0.000884615,0.001144231,0.002769231
1023.093406,50,1308.742188,4050.703125,3598.460938,8890.851563,13707.25,29.28461538,1.882039055,0.511292308,0.688,0.5125,0.57775,0.091863397,0.008438884,-0.132767886,-0.736314954,0.253846154,0.246153846,0.246153846,0.253846154,0.004125,0.002064516,0.00216129,0.0049375
1299.728915,78,909.0409836,2991.434426,2277.959016,6938.860656,13775.0082,30.06837607,2.406282716,0.556931624,0.391,0.571,0.623,0.094359716,0.008903756,-1.011379724,0.985492682,0.247863248,0.239316239,0.256410256,0.256410256,0.00375,0.001888889,0.002,0.009068966
1572.322588,88,1080.97619,3378.452381,2822.047619,7612.404762,14383.11905,30,2.259401493,0.660531469,0.327,0.671,0.69,0.051997284,0.002703718,-1.781779593,7.489094199,0.244755245,0.237762238,0.258741259,0.258741259,0.002323529,0.000545455,0.000833333,0.007777778
1807.055556,0,495.6692146,1558.6915,1192.860459,3834.942155,8783.472297,29.59006211,1.805691656,0.304111801,0.414,0.26,0.504,0.213028998,0.045381354,0.344758511,-1.016463127,0.248447205,0.248447205,0.248447205,0.254658385,0.00625641,0.006230769,0.002923077,0.0054
1295.654565,161,474.3694909,1470.159118,1058.956514,3091.376545,6893.803552,29.44285714,2.029325815,0.595335714,0.681,0.6505,0.73625,0.174267062,0.030369009,-0.600809937,-0.84902988,0.25,0.25,0.25,0.25,0.003470588,0.0025,0.006,0.006647059
