Date,Location,LAI,STD. DEV.,B1,B2,B3,B4,B5,Height,CIGR,CIRE,MTCI,NDRE,NDVI,RDVI
20200618,1,4.402245466,0.543621239,1138.403615,3560.089805,1045.105567,8578.05873,27048.49898,0.120186768,6.640437074,2.1615989,2.4605503,0.518260284,0.925344783,155.0558019
20200618,2,5.313998928,1.21830139,1037.982613,3164.342617,1033.285032,7682.385076,28120.36199,0.13391449,7.914053474,2.667405642,3.081673096,0.570760319,0.929059999,158.580581
20200618,3,8.791388165,1.63869449,834.9919392,2734.172957,700.3602719,6542.226386,27625.15052,0.27795721,9.153611296,3.232517593,3.616444245,0.61684548,0.950650432,159.9297749
20200701,1,8.713373026,1.401714065,1077.987201,3401.818443,2205.728787,8047.389677,16683.51353,0.901869171,3.937883845,1.081462211,1.496089825,0.350093744,0.76596593,105.2125713
20200701,2,4.62443923,0.760035275,968.0427376,3345.202424,2188.844337,7865.689745,15424.92527,0.68888207,3.634346625,0.968657534,1.345485926,0.32542398,0.75109393,99.61041716
20200701,3,6.726738589,0.924567311,1055.772179,3196.523942,2274.572574,7484.170825,15113.65112,0.657602898,3.768379547,1.02959248,1.474349402,0.337914637,0.737716243,97.24432217
20200701,1,8.253188022,0.715998782,1040.290733,3562.83386,2013.448711,7915.010751,16226.70197,0.939194858,3.640238298,1.060294952,1.422316657,0.345172535,0.779224961,105.161565
20200701,2,8.203464833,1.327689419,981.5084063,3740.785415,2089.773513,8631.236971,17607.2149,0.89135448,3.77481102,1.051644707,1.389618765,0.343014379,0.787459989,110.4678199
20200701,3,8.186498637,1.070406544,1165.324395,3677.735631,2061.314424,8183.380233,17298.56037,0.808638574,3.788644467,1.133173515,1.512006689,0.358812212,0.785627596,109.1613889
20200701,1,9.897741914,1.107152644,847.692301,2551.643878,1481.875104,6149.949893,14492.8273,0.742781593,4.699610275,1.368160623,1.815638037,0.404943151,0.812981669,102.7338229
20200701,2,6.671791387,0.932947632,863.7799909,2734.117109,1752.075397,6479.925667,13895.08043,0.638093692,4.117172234,1.15352108,1.579993873,0.364328613,0.775796621,96.99897837
20200701,3,5.524085207,0.982476017,928.1293708,2952.957806,2044.347404,6916.225056,14300.99983,0.55707315,3.858702038,1.071319097,1.523950471,0.347768385,0.74841153,95.70046839
20200701,1,3.96493034,0.751894012,1239.50332,3802.172502,3006.634686,7904.358339,14037.49236,0.458208293,2.720042738,0.781856222,1.276471132,0.280425305,0.646974641,84.41566772
20200701,2,5.050763325,0.671233524,1049.514554,3475.247176,2546.455768,7490.477261,13872.62994,0.577602108,3.014488399,0.859087054,1.310988619,0.299658898,0.689447767,88.28884653
20200701,3,7.413943625,1.08327312,1198.91487,3931.165973,2519.567121,8768.557234,17352.40629,0.795129314,3.440833593,0.986023959,1.390181497,0.329490674,0.745901452,105.0674597
